"Year" "Geo" "Age" "Sex" "Pop"
2015 3451 "80" 2 2042
2015 3451 "85" 1 750
2015 3451 "85" 2 1271
2015 3451 "90" 1 236
2015 3451 "90" 2 763
2015 3452 "60" 1 6228
2015 3452 "60" 2 6567
2015 3452 "65" 1 6072
2015 3452 "65" 2 6227
2015 3452 "70" 1 4489
2015 3452 "70" 2 4809
2015 3452 "75" 1 4356
2015 3452 "75" 2 5339
2015 3452 "80" 1 2204
2015 3452 "80" 2 3376
2015 3452 "85" 1 1053
2015 3452 "85" 2 2134
2015 3452 "90" 1 349
2015 3452 "90" 2 1093
2015 3453 "60" 1 4629
2015 3453 "60" 2 4453
2015 3453 "65" 1 3537
2015 3453 "65" 2 3451
2015 3453 "70" 1 2486
2015 3453 "70" 2 2863
2015 3453 "75" 1 2886
2015 3453 "75" 2 3656
2015 3453 "80" 1 1599
2015 3453 "80" 2 2462
2015 3453 "85" 1 754
2015 3453 "85" 2 1565
2015 3453 "90" 1 216
2015 3453 "90" 2 778
2015 3454 "60" 1 9872
2015 3454 "60" 2 9756
2015 3454 "65" 1 7916
2015 3454 "65" 2 7919
2015 3454 "70" 1 6287
2015 3454 "70" 2 6699
2015 3454 "75" 1 6458
2015 3454 "75" 2 7730
2015 3454 "80" 1 3340
2015 3454 "80" 2 5059
2015 3454 "85" 1 1560
2015 3454 "85" 2 3187
2015 3454 "90" 1 436
2015 3454 "90" 2 1542
2015 3455 "60" 1 3208
2015 3455 "60" 2 3336
2015 3455 "65" 1 3088
2015 3455 "65" 2 3450
2015 3455 "70" 1 2922
2015 3455 "70" 2 2944
2015 3455 "75" 1 2894
2015 3455 "75" 2 3381
2015 3455 "80" 1 1401
2015 3455 "80" 2 1847
2015 3455 "85" 1 666
2015 3455 "85" 2 1217
2015 3455 "90" 1 225
2015 3455 "90" 2 720
2015 3456 "60" 1 4223
2015 3456 "60" 2 4274
2015 3456 "65" 1 3549
2015 3456 "65" 2 3634
2015 3456 "70" 1 2825
2015 3456 "70" 2 2971
2015 3456 "75" 1 2912
2015 3456 "75" 2 3494
2015 3456 "80" 1 1669
2015 3456 "80" 2 2383
2015 3456 "85" 1 811
2015 3456 "85" 2 1560
2015 3456 "90" 1 264
2015 3456 "90" 2 785
2015 3457 "60" 1 5231
2015 3457 "60" 2 5311
2015 3457 "65" 1 4808
2015 3457 "65" 2 4894
2015 3457 "70" 1 3807
2015 3457 "70" 2 4045
2015 3457 "75" 1 3766
2015 3457 "75" 2 4572
2015 3457 "80" 1 1931
2015 3457 "80" 2 2870
2015 3457 "85" 1 924
2015 3457 "85" 2 1809
2015 3457 "90" 1 247
2015 3457 "90" 2 907
2015 3458 "60" 1 3992
2015 3458 "60" 2 4094
2015 3458 "65" 1 3514
2015 3458 "65" 2 3516
2015 3458 "70" 1 2911
2015 3458 "70" 2 3106
2015 3458 "75" 1 3085
2015 3458 "75" 2 3473
2015 3458 "80" 1 1488
2015 3458 "80" 2 2131
2015 3458 "85" 1 735
2015 3458 "85" 2 1278
2015 3458 "90" 1 234
2015 3458 "90" 2 810
2015 3459 "60" 1 11089
2015 3459 "60" 2 11111
2015 3459 "65" 1 8748
2015 3459 "65" 2 8893
2015 3459 "70" 1 7051
2015 3459 "70" 2 8094
2015 3459 "75" 1 7730
2015 3459 "75" 2 9712
2015 3459 "80" 1 4358
2015 3459 "80" 2 6377
2015 3459 "85" 1 2207
2015 3459 "85" 2 4298
2015 3459 "90" 1 698
2015 3459 "90" 2 2360
2015 3460 "60" 1 3841
2015 3460 "60" 2 3745
2015 3460 "65" 1 2926
2015 3460 "65" 2 2817
2015 3460 "70" 1 2173
2015 3460 "70" 2 2290
2015 3460 "75" 1 2270
2015 3460 "75" 2 2895
2015 3460 "80" 1 1294
2015 3460 "80" 2 1946
2015 3460 "85" 1 648
2015 3460 "85" 2 1285
2015 3460 "90" 1 188
2015 3460 "90" 2 682
2015 3461 "60" 1 2994
2015 3461 "60" 2 3011
2015 3461 "65" 1 2674
2015 3461 "65" 2 2612
2015 3461 "70" 1 2258
2015 3461 "70" 2 2367
2015 3461 "75" 1 2280
2015 3461 "75" 2 2676
2015 3461 "80" 1 1227
2015 3461 "80" 2 1660
2015 3461 "85" 1 581
2015 3461 "85" 2 1133
2015 3461 "90" 1 189
2015 3461 "90" 2 599
2015 3462 "60" 1 1876
2015 3462 "60" 2 1998
2015 3462 "65" 1 1989
2015 3462 "65" 2 2003
2015 3462 "70" 1 1443
2015 3462 "70" 2 1429
2015 3462 "75" 1 1432
2015 3462 "75" 2 1690
2015 3462 "80" 1 729
2015 3462 "80" 2 1037
2015 3462 "85" 1 372
2015 3462 "85" 2 739
2015 3462 "90" 1 120
2015 3462 "90" 2 414
2015 4011 "60" 1 15291
2015 4011 "60" 2 16706
2015 4011 "65" 1 14107
2015 4011 "65" 2 15588
2015 4011 "70" 1 12672
2015 4011 "70" 2 14660
2015 4011 "75" 1 12522
2015 4011 "75" 2 16111
2015 4011 "80" 1 6425
2015 4011 "80" 2 10157
2015 4011 "85" 1 3270
2015 4011 "85" 2 6874
2015 4011 "90" 1 1304
2015 4011 "90" 2 4364
2015 4012 "60" 1 3452
2015 4012 "60" 2 3887
2015 4012 "65" 1 2962
2015 4012 "65" 2 3325
2015 4012 "70" 1 2697
2015 4012 "70" 2 3027
2015 4012 "75" 1 2590
2015 4012 "75" 2 3326
2015 4012 "80" 1 1299
2015 4012 "80" 2 2194
2015 4012 "85" 1 652
2015 4012 "85" 2 1396
2015 4012 "90" 1 232
2015 4012 "90" 2 735
2015 5111 "60" 1 15429
2015 5111 "60" 2 17399
2015 5111 "65" 1 13591
2015 5111 "65" 2 15793
2015 5111 "70" 1 12372
2015 5111 "70" 2 15516
2015 5111 "75" 1 12596
2015 5111 "75" 2 16609
2015 5111 "80" 1 6946
2015 5111 "80" 2 10433
2015 5111 "85" 1 3517
2015 5111 "85" 2 6967
2015 5111 "90" 1 1135
2015 5111 "90" 2 4045
2015 5112 "60" 1 14404
2015 5112 "60" 2 15608
2015 5112 "65" 1 11458
